Module                  Size  Used by
ideapad_laptop         53248  0
snd_pci_acp3x          16384  0
i2c_algo_bit           16384  1 amdgpu
ccp                   159744  1 kvm_amd
libarc4                12288  1 mac80211
soundcore              16384  2 snd_ctl_led,snd
sparse_keymap          12288  1 ideapad_laptop
platform_profile       20480  1 ideapad_laptop
joydev                 32768  0
input_leds             12288  0
mac_hid                12288  0
serio_raw              20480  0
sch_fq_codel           24576  1
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
nvme_fabrics           36864  0
efi_pstore             12288  0
nfnetlink              20480  6 nft_compat,nf_conntrack_netlink,nf_tables,ip_set
dmi_sysfs              20480  0
ip_tables              32768  0
x_tables               65536  8 xt_conntrack,nft_compat,xt_tcpudp,xt_addrtype,xt_nat,xt_set,ip_tables,xt_MASQUERADE
autofs4                57344  2
nvme                   61440  2
usbhid                 77824  0
nvme_core             233472  4 nvme,nvme_fabrics
hid_multitouch         36864  0
ahci                   49152  0
hid_generic            12288  0
nvme_keyring           20480  2 nvme_core,nvme_fabrics
libahci                53248  1 ahci
nvme_auth              28672  1 nvme_core
i2c_hid_acpi           12288  0
i2c_hid                40960  1 i2c_hid_acpi
video                  77824  2 amdgpu,ideapad_laptop
hid                   262144  5 i2c_hid,usbhid,hid_multitouch,snd_soc_sdca,hid_generic
wmi                    28672  4 video,lenovo_wmi_hotkey_utilities,wmi_bmof,ideapad_laptop
